,Symbol,Count,Count_Long,Count_Short,win,win_long,win_short,PnL_ratio_mean,PnL_ratio_long_mean,PnL_ratio_short_mean,TP_Touches,TP_Touches_long,TP_Touches_short,Len_of_traded_days
605,BLKB,12,3,9,0.08333333333333333,0.3333333333333333,0.0,-0.028127044957064584,-0.012050350058362816,-0.033485943256631845,0.0,0.0,0.0,13
606,BRZE,39,23,16,0.3333333333333333,0.30434782608695654,0.375,-0.02784616088244415,-0.031601388157717195,-0.02244802167423915,0.0,0.0,0.0,53
607,RIOT,49,27,22,0.42857142857142855,0.4444444444444444,0.4090909090909091,-0.008885763632454956,-0.0013301400610102568,-0.018158574379227996,0.0,0.0,0.0,135
608,ZD,2,2,0,1.0,1.0,,0.023892269407252746,0.023892269407252746,,0.0,0.0,,8
609,VRRM,1,0,1,1.0,,1.0,0.01831853341848681,,0.01831853341848681,0.0,,0.0,10
610,CNO,2,1,1,0.5,1.0,0.0,0.014061914711934163,0.06257600389479084,-0.03445217447092252,0.0,0.0,0.0,2
611,SR,3,3,0,0.3333333333333333,0.3333333333333333,,0.008816487904660362,0.008816487904660362,,0.0,0.0,,0
612,DIOD,7,6,1,0.8571428571428571,0.8333333333333334,1.0,0.036426609654483466,0.0361757734827845,0.03793162668467725,0.0,0.0,0.0,14
613,CNX,4,4,0,0.5,0.5,,0.0061643621632182805,0.0061643621632182805,,0.0,0.0,,4
614,SPT,39,23,16,0.48717948717948717,0.43478260869565216,0.5625,-0.011439363553595615,-0.02026905140301183,0.001253312729940198,0.0,0.0,0.0,46
615,WD,4,2,2,0.5,1.0,0.0,-0.015094438528031004,0.0440601626188049,-0.07424903967486692,0.0,0.0,0.0,5
616,AX,4,1,3,0.5,0.0,0.6666666666666666,-0.008730535366363708,-0.05082255290067593,0.005300137145073699,0.0,0.0,0.0,17
617,PSN,3,0,3,0.0,,0.0,-0.014711749508594585,,-0.014711749508594585,0.0,,0.0,12
618,VKTX,55,20,35,0.5272727272727272,0.45,0.5714285714285714,-0.00542069738112675,-0.03321535321703144,0.01046196309653307,0.0,0.0,0.0,140
619,IDCC,14,0,14,0.2857142857142857,,0.2857142857142857,-0.03306488114957891,,-0.03306488114957891,0.0,,0.0,14
620,ACAD,10,5,5,0.5,0.6,0.4,0.019227738245527794,0.012381926695847237,0.026073549795208345,0.0,0.0,0.0,41
621,LCII,3,3,0,1.0,1.0,,0.03532324754380355,0.03532324754380355,,0.0,0.0,,5
622,HCC,14,8,6,0.5714285714285714,0.75,0.3333333333333333,-0.0032522487445241434,0.027202444620422046,-0.0438585065644524,0.0,0.0,0.0,45
